transaction_id,amount,hour,merchant_risk,distance_from_home,previous_txn_count_24h,foreign_transaction,card_present,is_fraud
TXN-00001,73.21,3,0.282,0.2,2,0,1,1
TXN-00002,99.24,8,0.152,17.3,3,0,1,0
TXN-00003,64.3,22,0.096,9.7,4,0,1,0
TXN-00004,57.58,22,0.477,16.0,3,0,1,0
TXN-00005,107.77,9,0.311,4.8,1,1,1,0
TXN-00006,61.37,12,0.199,9.7,2,0,1,0
TXN-00007,82.11,23,0.213,38.2,5,0,1,1
TXN-00008,76.63,5,0.193,17.3,4,0,1,1
TXN-00009,107.71,22,0.217,29.9,1,0,1,0
TXN-00010,50.37,2,0.132,12.6,4,0,0,0
TXN-00011,132.85,5,0.485,2.5,1,1,0,1
TXN-00012,41.04,8,0.275,0.0,0,1,0,1
TXN-00013,85.84,0,0.161,12.3,3,1,0,1
TXN-00014,79.04,19,0.214,15.0,3,0,1,0
TXN-00015,38.11,20,0.176,6.8,1,0,0,0
TXN-00016,90.83,9,0.099,14.3,0,0,1,0
TXN-00017,53.33,20,0.38,27.6,2,0,0,0
TXN-00018,28.45,18,0.028,10.2,2,0,0,0
TXN-00019,98.77,19,0.101,22.5,1,0,0,0
TXN-00020,19.8,19,0.38,56.0,3,0,1,0
TXN-00021,33.13,13,0.39,31.7,2,1,1,0
TXN-00022,63.77,2,0.169,8.9,2,0,1,0
TXN-00023,107.23,22,0.103,4.7,4,0,1,0
TXN-00024,94.7,14,0.099,14.5,2,0,0,0
TXN-00025,72.4,21,0.197,35.9,3,0,1,0
TXN-00026,14.16,23,0.074,20.0,0,0,1,0
TXN-00027,39.56,4,0.247,48.6,0,0,1,0
TXN-00028,46.76,9,0.273,51.4,2,0,1,0
TXN-00029,27.31,4,0.19,12.0,3,0,1,0
TXN-00030,10.55,1,0.242,27.5,2,0,1,0
TXN-00031,66.0,23,0.301,12.1,1,0,1,0
TXN-00032,96.73,22,0.191,0.0,0,0,0,0
TXN-00033,43.95,22,0.208,101.0,2,0,0,0
TXN-00034,106.32,21,0.562,16.3,3,0,0,0
TXN-00035,17.59,15,0.256,11.8,0,0,1,0
TXN-00036,25.87,12,0.303,1.6,3,0,1,0
TXN-00037,65.01,23,0.236,5.4,4,0,1,0
TXN-00038,41.08,13,0.212,5.8,0,0,1,0
TXN-00039,91.41,15,0.224,22.2,1,0,1,0
TXN-00040,81.5,5,0.292,38.2,3,0,1,1
TXN-00041,43.42,17,0.061,1.4,5,1,0,1
TXN-00042,19.27,19,0.358,18.3,3,0,1,0
TXN-00043,39.59,16,0.198,1.7,2,0,0,0
TXN-00044,82.86,11,0.045,7.4,1,1,1,0
TXN-00045,93.86,4,0.083,93.7,3,0,1,0
TXN-00046,41.22,0,0.087,18.0,3,0,0,0
TXN-00047,10.48,15,0.054,12.6,0,1,0,0
TXN-00048,16.66,16,0.2,39.5,3,0,0,1
TXN-00049,78.33,18,0.269,21.9,5,0,0,1
TXN-00050,42.86,22,0.144,5.3,3,0,1,1
TXN-00051,43.67,11,0.139,14.9,3,0,0,0
TXN-00052,25.5,19,0.077,15.4,3,0,0,0
TXN-00053,25.08,17,0.282,15.6,3,0,1,0
TXN-00054,105.14,6,0.376,7.3,4,0,1,0
TXN-00055,80.25,20,0.135,19.5,0,0,1,0
TXN-00056,35.39,1,0.12,10.2,1,1,0,0
TXN-00057,61.65,14,0.328,45.1,2,0,0,1
TXN-00058,69.49,22,0.22,5.7,3,0,0,0
TXN-00059,164.77,15,0.11,20.1,1,1,1,1
TXN-00060,23.23,22,0.211,19.2,3,0,1,0
TXN-00061,68.85,1,0.06,8.4,2,0,1,0
TXN-00062,104.79,12,0.145,3.7,3,0,1,0
TXN-00063,152.58,18,0.153,1.6,2,0,1,0
TXN-00064,33.94,15,0.231,18.3,1,0,1,0
TXN-00065,42.43,21,0.38,9.8,2,0,1,0
TXN-00066,92.0,11,0.253,11.4,3,0,1,1
TXN-00067,13.92,16,0.182,9.0,1,0,0,0
TXN-00068,73.68,10,0.187,2.5,3,0,1,0
TXN-00069,203.06,20,0.12,11.0,1,0,1,0
TXN-00070,79.13,2,0.293,0.3,2,0,1,0
TXN-00071,5.3,6,0.444,8.3,2,0,0,0
TXN-00072,28.77,2,0.2,13.1,1,0,0,0
TXN-00073,34.82,16,0.286,42.6,0,0,1,0
TXN-00074,120.97,5,0.121,2.5,0,0,0,0
TXN-00075,51.46,7,0.288,16.2,4,0,1,0
TXN-00076,10.67,20,0.33,7.8,5,0,1,0
TXN-00077,55.94,8,0.274,29.3,2,0,1,0
TXN-00078,64.42,3,0.375,4.8,6,0,1,1
TXN-00079,38.56,0,0.328,9.5,1,0,1,0
TXN-00080,24.69,5,0.28,22.5,0,0,1,0
TXN-00081,217.04,21,0.225,7.4,3,0,1,1
TXN-00082,105.01,13,0.222,28.5,1,0,1,0
TXN-00083,111.36,23,0.142,1.2,3,0,1,1
TXN-00084,51.54,5,0.035,5.1,1,0,1,1
TXN-00085,33.47,8,0.322,0.4,2,0,1,0
TXN-00086,40.1,3,0.294,23.5,2,0,1,0
TXN-00087,17.55,9,0.321,9.3,2,0,1,0
TXN-00088,162.73,13,0.004,15.7,1,0,1,1
TXN-00089,53.14,19,0.093,1.6,1,0,1,0
TXN-00090,139.48,8,0.197,15.2,1,0,1,0
TXN-00091,41.67,18,0.186,5.7,2,0,1,0
TXN-00092,79.93,15,0.278,19.0,2,0,1,0
TXN-00093,67.01,7,0.164,6.3,4,0,1,0
TXN-00094,15.78,21,0.088,8.6,3,0,1,0
TXN-00095,176.02,10,0.457,9.3,4,0,1,0
TXN-00096,42.68,3,0.324,100.5,2,0,1,0
TXN-00097,21.25,23,0.116,35.5,1,0,0,0
TXN-00098,92.5,21,0.356,0.3,1,0,1,0
TXN-00099,58.1,1,0.31,7.4,1,0,1,0
