amount,hour,merchant_risk,distance_from_home,previous_txn_count_24h,foreign_transaction,card_present,actual_is_fraud,risk_score,predicted_flag
217.04,21,0.225,7.4,3,0,1,1,0.762,1
157.18,14,0.274,19.4,3,0,1,0,0.759,1
312.68,12,0.235,8.4,5,1,1,1,0.751,1
216.25,13,0.429,2.7,4,0,1,1,0.743,1
262.04,22,0.321,4.5,1,0,1,1,0.74,1
143.73,6,0.445,34.1,2,0,0,1,0.738,1
181.89,13,0.372,99.4,1,0,1,1,0.737,1
263.82,5,0.044,6.7,1,1,1,1,0.73,1
139.09,12,0.231,51.0,1,0,1,1,0.723,1
165.6,14,0.341,69.2,4,0,0,1,0.712,1
141.93,22,0.307,68.5,2,0,1,0,0.711,1
125.19,9,0.459,37.6,1,0,0,0,0.705,1
163.75,7,0.208,7.8,4,0,1,0,0.689,1
217.13,12,0.14,43.7,0,0,1,1,0.683,1
176.02,10,0.457,9.3,4,0,1,0,0.657,1
